source_a,source_b,benchmark,n_models,tau_b,ci_lo,ci_hi,pvalue,rq_type
helm_classic,helm_lite,MMLU,3,-1.0,-1.0,-1.0,0.3333,paper_vs_paper
helm_classic,helm_lite,Mean win rate,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
helm_classic,helm_lite,NarrativeQA,3,0.8165,0.8165,1.0,0.2207,paper_vs_paper
helm_classic,helm_lite,OpenbookQA,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
helm_lite,helm_mmlu,Mean win rate,72,-0.0987,-0.2316,0.0479,0.2205,paper_vs_paper
hfopenllm_v2,papers_2402.16819,BBH,4,0.3333,-1.0,1.0,0.75,leaderboard_vs_paper
hfopenllm_v2,papers_2403.17297,BBH,5,0.6,-1.0,1.0,0.2333,leaderboard_vs_paper
hfopenllm_v2,papers_2403.17297,IFEval,4,-0.6667,-1.0,1.0,0.3333,leaderboard_vs_paper
hfopenllm_v2,papers_2407.10671,BBH,16,0.85,0.6814,0.9813,0.0,leaderboard_vs_paper
hfopenllm_v2,papers_2407.10671,GPQA,11,0.7091,0.4043,0.9216,0.0016,leaderboard_vs_paper
hfopenllm_v2,papers_2407.10671,IFEval,12,0.2727,-0.2881,0.8417,0.2496,leaderboard_vs_paper
hfopenllm_v2,papers_2412.15115,BBH,15,0.981,0.9149,1.0,0.0,leaderboard_vs_paper
hfopenllm_v2,papers_2412.15115,GPQA,15,0.7404,0.5203,0.9369,0.0001,leaderboard_vs_paper
hfopenllm_v2,papers_2412.15115,IFEval,11,0.8545,0.5918,1.0,0.0,leaderboard_vs_paper
hfopenllm_v2,papers_2505.09388,BBH,8,0.9286,0.6161,1.0,0.0004,leaderboard_vs_paper
hfopenllm_v2,papers_2505.09388,GPQA,12,0.5758,0.2203,0.8689,0.0088,leaderboard_vs_paper
hfopenllm_v2,papers_2505.09388,IFEval,11,0.8545,0.5916,1.0,0.0,leaderboard_vs_paper
papers_2310.06825,papers_2401.04088,ARC-Challenge,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,ARC-Easy,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,MATH,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,MBPP,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,NaturalQuestions,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2310.06825,papers_2401.04088,PIQA,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,WinoGrande,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,HumanEval,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,MATH,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,MBPP,3,1.0,1.0,1.0,0.3333,paper_vs_paper
