model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
openai/gpt-3.5-turbo-0613,OpenbookQA,helm_classic,helm_lite,-1.0,0.838,-1.838,,,helm,helm,,
meta/llama-3.1-70b-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.808,0.021,0.787,,,helm,helm,,
openai/gpt-4,MATH,papers_2309.16609,papers_2501.12948,0.919,0.134,0.785,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2309.16609,papers_2403.04652,0.892,0.14,0.752,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
anthropic/claude-3-5-sonnet-20240620,Mean win rate,helm_lite,helm_mmlu,0.885,0.17,0.715,,,helm,helm,,
deepseek-ai/deepseek-v3,Mean win rate,helm_lite,helm_mmlu,0.908,0.215,0.693,,,helm,helm,,
openai/gpt-4,MATH,papers_2409.12122,papers_2501.12948,0.811,0.134,0.677,4,4,lm-evaluation-harness,lm-evaluation-harness,,
anthropic/claude-3-opus-20240229,Mean win rate,helm_lite,helm_mmlu,0.683,0.014,0.669,,,helm,helm,,
cohere/command-r,Mean win rate,helm_lite,helm_mmlu,0.299,0.959,-0.66,,,helm,helm,,
microsoft/phi-2,Mean win rate,helm_lite,helm_mmlu,0.169,0.824,-0.655,,,helm,helm,,
Qwen/Qwen2-7B,GSM8K,papers_2309.16609,papers_2505.09388,0.212,0.857,-0.645,8,8,lm-evaluation-harness,lm-evaluation-harness,,
allenai/olmo-7b,Mean win rate,helm_lite,helm_mmlu,0.052,0.68,-0.628,,,helm,helm,,
Qwen/Qwen2-7B,HumanEval,papers_2309.16609,papers_2505.09388,0.171,0.799,-0.628,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-70B,IFEval,hfopenllm_v2,papers_2407.10671,0.1603,0.773,-0.6127,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
openai/gpt-3.5-turbo,MATH,papers_2309.16609,papers_2403.17297,0.892,0.28,0.612,unknown,4,lm-evaluation-harness,opencompass,,
ai21/jamba-instruct,Mean win rate,helm_lite,helm_mmlu,0.287,0.887,-0.6,,,helm,helm,,
Qwen/Qwen2-7B,GSM8K,papers_2309.16609,papers_2412.15115,0.212,0.802,-0.59,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2309.16609,papers_2407.10671,0.212,0.799,-0.587,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2309.16609,papers_2409.12122,0.212,0.799,-0.587,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2407.10671,papers_2501.12948,0.7116,0.134,0.5776,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,IFEval,hfopenllm_v2,papers_2407.10671,0.1455,0.721,-0.5755,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
meta/llama-3.2-11b-vision-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.325,0.897,-0.572,,,helm,helm,,
openai/text-davinci-002,Mean win rate,helm_classic,helm_lite,0.905,0.336,0.569,,,helm,helm,,
qwen/qwen1.5-7b,Mean win rate,helm_lite,helm_mmlu,0.275,0.843,-0.568,,,helm,helm,,
google/gemma-2b,GSM8K,papers_2407.10671,papers_2408.00118,0.177,0.74,-0.563,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MATH,papers_2309.16609,papers_2407.10671,0.056,0.6099,-0.5539,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2210.11416,papers_2406.11704,0.243,0.795,-0.552,5,5,unknown,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2210.11416,papers_2408.00118,0.243,0.792,-0.549,5,5,unknown,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2302.13971,papers_2309.16609,0.345,0.892,-0.547,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,IFEval,hfopenllm_v2,papers_2408.12570,0.2038,0.743,-0.5392,0,unknown,lighteval,lm-evaluation-harness,lighteval/ifeval,
anthropic/claude-3-5-sonnet-20241022,Mean win rate,helm_lite,helm_mmlu,0.846,0.311,0.535,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,DROP,papers_2210.11416,papers_2408.00118,0.05,0.584,-0.534,unknown,unknown,unknown,lm-evaluation-harness,,
meta/llama-2-7b,Mean win rate,helm_lite,helm_mmlu,0.152,0.681,-0.529,,,helm,helm,,
openai/gpt-4,MATH,papers_2306.05685,papers_2501.12948,0.661,0.134,0.527,unknown,4,fastchat,lm-evaluation-harness,,
Qwen/Qwen2-7B,MBPP,papers_2309.16609,papers_2505.09388,0.148,0.672,-0.524,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta/llama-3.1-405b-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.854,0.33,0.524,,,helm,helm,,
openai/gpt-4,MATH,papers_2309.16609,papers_2403.04652,0.919,0.402,0.517,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4-turbo-2024-04-09,Mean win rate,helm_lite,helm_mmlu,0.864,0.351,0.513,,,helm,helm,,
Qwen/Qwen2-7B,MBPP,papers_2309.16609,papers_2407.10671,0.148,0.659,-0.511,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,GSM8K,papers_2407.10671,papers_2408.12570,0.177,0.686,-0.509,8,8,lm-evaluation-harness,lm-evaluation-harness,,
google/gemini-1.5-pro-002,Mean win rate,helm_lite,helm_mmlu,0.842,0.334,0.508,,,helm,helm,,
mistralai/mistral-large-2407,Mean win rate,helm_lite,helm_mmlu,0.744,0.24,0.504,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,MATH,papers_2405.04324,papers_2407.10671,0.156,0.6582,-0.5022,4,4,lm-evaluation-harness,lm-evaluation-harness,,
google/text-unicorn@001,Mean win rate,helm_lite,helm_mmlu,0.644,0.142,0.502,,,helm,helm,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2406.11704,papers_2407.14885,0.913,0.4123,0.5007,25,25,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2306.05685,papers_2403.04652,0.638,0.14,0.498,unknown,4,fastchat,lm-evaluation-harness,,
